::1 - - [08/Nov/2024:22:37:47 +0000] "POST /guest/file/upload/multi4 HTTP/1.1" 200 2 "-" "PostmanRuntime/7.42.0"
::ffff:127.0.0.1 - - [12/Nov/2024:01:06:39 +0000] "POST /guest/auth/login HTTP/1.1" 400 95 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:06:39 +0000] "GET /user/user/ HTTP/1.1" 401 40 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:06:39 +0000] "POST /user/approval HTTP/1.1" 401 40 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:06:39 +0000] "PATCH /user/approval/undefined/approve HTTP/1.1" 401 40 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:06:39 +0000] "POST /user/approval HTTP/1.1" 401 40 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:06:39 +0000] "PATCH /user/approval/undefined/reject HTTP/1.1" 401 40 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:06:39 +0000] "GET /user/approval HTTP/1.1" 401 40 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:06:54 +0000] "POST /guest/auth/register HTTP/1.1" 500 102 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:08:10 +0000] "POST /guest/auth/register HTTP/1.1" 201 293 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:08:11 +0000] "POST /guest/auth/login HTTP/1.1" 201 198 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:08:11 +0000] "GET /user/user/ HTTP/1.1" 200 - "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:08:11 +0000] "POST /user/approval HTTP/1.1" 201 233 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:08:11 +0000] "PATCH /user/approval/6732aa7b24c0dc8e54551450/approve HTTP/1.1" 201 256 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:08:11 +0000] "POST /user/approval HTTP/1.1" 201 233 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:08:11 +0000] "PATCH /user/approval/6732aa7b24c0dc8e54551454/reject HTTP/1.1" 201 256 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:08:11 +0000] "GET /user/approval HTTP/1.1" 200 - "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:09:27 +0000] "POST /guest/auth/register HTTP/1.1" 201 294 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:09:28 +0000] "POST /guest/auth/login HTTP/1.1" 201 198 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:09:28 +0000] "GET /user/user/ HTTP/1.1" 200 - "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:09:28 +0000] "POST /user/approval HTTP/1.1" 201 233 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:09:28 +0000] "PATCH /user/approval/6732aac877f6e8500939cf9c/approve HTTP/1.1" 201 256 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:09:28 +0000] "POST /user/approval HTTP/1.1" 201 233 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:09:28 +0000] "PATCH /user/approval/6732aac877f6e8500939cfa0/reject HTTP/1.1" 201 256 "-" "-"
::ffff:127.0.0.1 - - [12/Nov/2024:01:09:28 +0000] "GET /user/approval HTTP/1.1" 200 - "-" "-"
